RUN	simulations.CodeReuseWithObjects	codereusewithobjects	1599999042543	4	3.3.1
USER	Code reuse	1	START	1599999043242	1599999043242
REQUEST	1		Get all video games - 1st call	1599999043265	1599999043274	OK	 
REQUEST	1		Get all video games - 1st call	1599999043285	1599999043288	OK	 
REQUEST	1		Get all video games - 1st call	1599999043289	1599999043291	OK	 
REQUEST	1		Get specific game	1599999048299	1599999048302	OK	 
REQUEST	1		Get specific game	1599999048303	1599999048305	OK	 
REQUEST	1		Get specific game	1599999048305	1599999048308	OK	 
REQUEST	1		Get specific game	1599999048308	1599999048311	OK	 
REQUEST	1		Get specific game	1599999048312	1599999048314	OK	 
REQUEST	1		Get all video games - 1st call	1599999053316	1599999053318	OK	 
REQUEST	1		Get all video games - 1st call	1599999053319	1599999053321	OK	 
REQUEST	1		Get all video games - 1st call	1599999053321	1599999053323	OK	 
USER	Code reuse	1	END	1599999043242	1599999053325
